model_slice,target_max_width,first_euv_violating_age_separation_myr,first_wind_violating_age_separation_myr
TOI-700 combined,1.1,2.052563695321169,2.052563695321169
TOI-700 combined,1.25,2.052563695321169,2.052563695321169
TOI-700 combined,1.5,2.052563695321169,2.052563695321169
TOI-700 0.40 Msun,1.1,90.0414786155311,80.2683489543524
TOI-700 0.40 Msun,1.25,219.89026043105923,191.91591223854448
TOI-700 0.40 Msun,1.5,400.0,362.44656791512625
TOI-700 0.45 Msun,1.1,88.0303274976336,66.71933417864102
TOI-700 0.45 Msun,1.25,214.3772675065561,157.20807473478908
TOI-700 0.45 Msun,1.5,400.0,316.84150871981956
LHS 1140 0.20 Msun,1.1,200.0,200.0
LHS 1140 0.20 Msun,1.25,600.0,600.0
LHS 1140 0.20 Msun,1.5,1200.0,1300.0
