stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,rotation_match_age_myr,matched_period_days,current_euv_flux_erg_s_cm2,current_x_flux_erg_s_cm2,current_mdot_msun_yr,cumulative_euv_fluence_erg_cm2,cumulative_x_fluence_erg_cm2,cumulative_wind_column_kg_m2
0.4,2,1.81,2725.7792908339616,54.0,76.62480195870995,33.292810683515064,1.1096882836664154e-14,1.6124107901260595e+19,1.2602910447668204e+19,30100.20533950837
0.4,3,2.02,2755.6741600000796,54.0,76.69906350268384,33.33407493339357,1.1077303359999681e-14,1.6752834315482001e+19,1.3328954715850908e+19,31497.135222767967
0.4,4,2.24,2784.3925946395675,54.0,76.58378844345243,33.2561153213651,1.106242962144173e-14,1.7209242530097015e+19,1.3836879813679077e+19,32476.828555863867
0.4,5,2.39,2806.047639788314,54.0,76.56681347748814,33.26292188829356,1.1075809440846743e-14,1.7601300570347745e+19,1.4297216699215559e+19,33348.29217349783
0.4,6,2.57,2825.7792908339616,54.0,76.72376933161726,33.292810683515064,1.1096882836664154e-14,1.8045090990566203e+19,1.4817682498571905e+19,34313.38406751564
0.4,7,2.75,2845.669551265021,54.0,76.61914434212242,33.187454049377905,1.1062991346204937e-14,1.837517681795269e+19,1.51903138630507e+19,35007.795332920774
0.4,8,3.03,2875.802334509257,54.0,76.62226281141069,33.2258631448934,1.1096790661962973e-14,1.8934566173845754e+19,1.5847538467477998e+19,36219.06014543495
0.4,9,3.24,2896.0891184038455,54.0,76.74465390664388,33.25430476073664,1.1111732644788463e-14,1.9381076110790033e+19,1.63650266618076e+19,37134.985486255
0.4,10,3.55,2917.695203072506,54.0,76.74134011095055,33.25648404411623,1.1046914390782482e-14,1.9827942808847307e+19,1.6886842239566658e+19,38059.254765256985
0.4,11,3.64,2928.7012895938137,54.0,76.66922181222402,33.25774442104799,1.1085194841624746e-14,1.9962090147069723e+19,1.7035796421977207e+19,38334.30715153645
0.4,12,3.76,2945.669551265021,54.0,76.61914434212242,33.187454049377905,1.1062991346204937e-14,2.0259140621593657e+19,1.7391725662284122e+19,38959.14183978851
0.4,13,3.88,2955.6741600000796,54.0,76.56572150956717,33.20073294027691,1.1077303359999681e-14,2.0424354876240024e+19,1.7578753256384815e+19,39287.803817838685
0.4,14,4.01,2961.983898133422,54.0,76.63196550239383,33.25835315810661,1.1052064407466311e-14,2.0578660767000842e+19,1.7753514815137602e+19,39578.09030968301
0.4,15,4.31,2975.802334509257,54.0,76.72333915507431,33.25812879434646,1.1096790661962973e-14,2.0926227197510304e+19,1.8180205049991105e+19,40317.297842693886
0.4,16,4.37,2995.6630301365603,54.0,76.6192660777597,33.126644313500314,1.1017347879453759e-14,2.119095506856598e+19,1.8472508802557673e+19,40817.391044704535
0.4,17,4.46,2996.0891184038455,54.0,76.61652676099597,33.249089913267895,1.1015643526384619e-14,2.1273598194597347e+19,1.8584827538686382e+19,41010.46917364301
0.4,18,4.62,3005.486747576542,54.0,76.96594308386662,33.437924219227625,1.113292048545925e-14,2.1446859287613043e+19,1.878983183537607e+19,41360.20901068804
0.4,19,4.74,3006.047639788314,54.0,77.11573898378037,33.44839488718941,1.1136285838729884e-14,2.156615406128758e+19,1.8942730662122033e+19,41602.352857308026
0.4,20,5.1,3025.7792908339616,54.0,77.99563027936306,34.08342694833002,1.135467574500377e-14,2.1958394739719274e+19,1.941388858964828e+19,42396.727488878576
0.4,21,5.23,3041.434571925634,54.0,78.82053304288806,34.56426951919081,1.1448607431553803e-14,2.225802683474107e+19,1.9766362776897425e+19,42982.03741869442
0.4,22,5.47,3050.5116469818904,54.0,79.2201531975323,34.87916480425809,1.1603069881891343e-14,2.2490832589109535e+19,2.004774695846852e+19,43431.38611140453
0.4,23,5.53,3050.5116469818904,54.0,79.35349519064896,34.94515356053305,1.1603069881891343e-14,2.2531588769632096e+19,2.0102882737331094e+19,43516.63072821097
0.4,24,5.59,3059.6247696257415,54.0,79.62083081675546,35.11527623169172,1.1657748617754448e-14,2.2608310148063818e+19,2.0186364761555284e+19,43663.12137387253
0.4,25,5.96,3068.7739398571853,54.0,80.2892498867908,35.55275582108846,1.1812643639143112e-14,2.2936840456915915e+19,2.0596252309858304e+19,44310.155124693825
0.4,26,6.08,3077.959157676223,54.0,80.69204243517173,35.82817665091907,1.1867754946057339e-14,2.308836017493166e+19,2.0768716678107226e+19,44611.29659755196
0.4,27,6.32,3088.225858749088,54.0,81.25990254583859,36.18256587622038,1.1941129293745438e-14,2.3380311974792315e+19,2.1135141200899625e+19,45179.927135766084
0.4,28,6.51,3096.437736077079,54.0,81.6341419187869,36.4644562082423,1.2078626416462475e-14,2.3528677057004155e+19,2.131002175250418e+19,45465.19242453961
